image,gt_count,exp8_count,exp10_count,exp8_best_iou,exp10_best_iou,score
test_0174_504,1,1,1,0.9893,0.9695,0.198
test_0065_163,5,5,5,0.9635,0.9437,0.198
test_0347_caries_0_242,1,1,1,0.9834,0.9638,0.197
test_0209_328,2,2,2,0.9504,0.9307,0.196
test_0266_caries_0_3360,2,3,3,0.6295,0.6099,0.196
test_0181_177,1,1,1,0.9737,0.9542,0.195
test_0176_caries_0_398,2,3,3,0.4112,0.3918,0.195
test_0260_caries_0_398,2,3,3,0.4112,0.3918,0.195
test_0245_294,1,1,1,0.9514,0.9322,0.192
test_0030_282,2,2,2,0.9766,0.9574,0.191
test_0139_567,1,1,1,0.8896,0.8705,0.191
test_0206_67,4,4,4,0.9655,0.9465,0.190
test_0376_(219),3,4,4,0.6850,0.6663,0.188
test_0004_caries_0_4286,6,7,7,0.3983,0.3801,0.182
test_0246_caries_0_4286,6,7,7,0.3983,0.3801,0.182
test_0179_475,1,1,1,0.9877,0.9700,0.178
test_0184_(248),1,2,2,0.4700,0.4523,0.177
test_0055_144,5,7,7,0.6927,0.6755,0.172
test_0151_caries_0_3514,1,1,1,0.8874,0.8704,0.171
test_0007_268,1,1,1,0.9630,0.9460,0.170
test_0002_caries_0_5138,4,4,4,0.9538,0.9369,0.169
test_0342_(188),1,1,1,0.8946,0.8779,0.167
test_0127_162,1,1,1,0.9663,0.9496,0.167
test_0386_100,1,1,1,0.9629,0.9465,0.164
test_0302_274,1,1,1,0.9496,0.9333,0.163
test_0364_612,2,2,2,0.9730,0.9568,0.162
test_0019_10,4,4,4,0.9773,0.9611,0.161
test_0202_104,4,4,4,0.9705,0.9545,0.160
test_0006_272,1,1,1,0.9647,0.9489,0.158
test_0224_152,1,1,1,0.9647,0.9489,0.158
test_0111_367,1,1,1,0.9318,0.9161,0.157
test_0186_367,1,1,1,0.9318,0.9161,0.157
test_0354_357,1,1,1,0.9566,0.9411,0.155
test_0110_caries_0_3633,3,3,3,0.9590,0.9440,0.150
test_0161_caries_0_3537,1,1,1,0.6154,0.6004,0.150
test_0392_(199),5,4,4,0.5976,0.5829,0.147
test_0220_486,1,1,1,0.9717,0.9570,0.147
test_0072_102,2,3,3,0.5427,0.5283,0.144
test_0325_caries_0_4378,2,2,2,0.9461,0.9320,0.141
test_0239_97,1,1,1,0.9589,0.9449,0.140
test_0130_549,1,1,1,0.9815,0.9676,0.139
test_0234_181,5,5,5,0.9261,0.9122,0.138
test_0250_443,1,1,1,0.9727,0.9594,0.134
test_0338_caries_0_5211,1,1,1,0.9817,0.9684,0.134
test_0126_caries_0_209,3,4,4,0.7157,0.7024,0.133
test_0365_caries_0_521,2,2,2,0.9543,0.9410,0.133
test_0052_caries_0_5142,2,2,2,0.9303,0.9172,0.130
test_0290_caries_0_4917,3,3,3,0.9642,0.9515,0.127
test_0366_caries_0_4365,4,6,6,0.4734,0.4609,0.126
test_0190_204,1,1,1,0.9578,0.9452,0.126
test_0119_caries_0_4684,1,1,1,0.9143,0.9017,0.126
test_0023_143,1,1,1,0.9715,0.9591,0.124
test_0346_184,1,1,1,0.9585,0.9461,0.124
test_0047_628,1,1,1,0.9752,0.9628,0.124
test_0054_(85),3,3,3,0.8608,0.8485,0.124
test_0281_524,1,1,1,0.9470,0.9350,0.120
test_0133_63,3,3,3,0.9568,0.9452,0.116
test_0044_256,2,2,2,0.6422,0.6308,0.114
test_0225_256,2,2,2,0.6422,0.6308,0.114
test_0112_267,1,1,1,0.9414,0.9302,0.113
test_0208_554,1,1,1,0.7305,0.7192,0.112
test_0088_caries_0_3486,1,1,1,0.9546,0.9435,0.111
test_0327_210,1,1,1,0.6543,0.6437,0.106
test_0138_193,1,1,1,0.9858,0.9759,0.099
test_0284_572,2,2,2,0.9689,0.9591,0.098
test_0038_caries_0_3654,1,1,1,0.9827,0.9731,0.096
test_0118_(68),4,4,4,0.8850,0.8756,0.094
test_0261_(8),3,4,4,0.5361,0.5268,0.093
test_0389_caries_0_3593,1,1,1,0.9327,0.9235,0.092
test_0058_caries_0_4415,4,6,6,0.3666,0.3580,0.086
test_0213_155,4,4,4,0.9544,0.9462,0.082
test_0197_132,1,1,1,0.9812,0.9732,0.080
test_0358_372,1,1,1,0.9812,0.9732,0.080
test_0362_caries_0_31,3,3,3,0.9641,0.9561,0.079
test_0373_caries_0_3414,2,2,2,0.9424,0.9346,0.078
test_0233_734,1,1,1,0.9921,0.9850,0.071
test_0267_127,1,1,1,0.9422,0.9352,0.070
test_0320_586,1,1,1,0.9727,0.9657,0.070
test_0330_381,1,1,1,0.9587,0.9520,0.067
test_0270_509,1,1,1,0.9872,0.9805,0.067
test_0351_160,5,5,5,0.9035,0.8968,0.066
test_0028_caries_0_4405,3,3,3,0.9536,0.9473,0.063
test_0081_489,5,5,5,0.9584,0.9525,0.059
test_0106_(183),8,9,9,0.5917,0.5860,0.056
test_0388_caries_0_327,1,1,1,0.9740,0.9690,0.050
test_0012_529,1,1,1,0.9679,0.9632,0.048
test_0166_517,1,1,1,0.9191,0.9144,0.047
test_0310_caries_0_4333,6,6,6,0.9064,0.9019,0.045
test_0075_270,1,1,1,0.9661,0.9618,0.043
test_0124_150,1,1,1,0.9661,0.9618,0.043
test_0129_630,1,1,1,0.9661,0.9618,0.043
test_0276_caries_0_4248,2,2,2,0.9591,0.9552,0.038
test_0188_275,5,5,5,0.9139,0.9102,0.037
test_0104_69,3,3,3,0.9550,0.9513,0.037
test_0101_97,1,1,1,0.9758,0.9722,0.036
test_0194_caries_0_4254,2,2,2,0.9346,0.9313,0.033
test_0263_354,1,1,1,0.9798,0.9767,0.031
test_0329_834,1,1,1,0.9798,0.9767,0.031
test_0368_79,2,2,2,0.9679,0.9650,0.029
test_0167_180,1,1,1,0.9753,0.9729,0.024
test_0205_582,2,2,2,0.9784,0.9761,0.023
test_0189_504,1,1,1,0.9893,0.9875,0.017
test_0235_caries_0_3322,1,1,1,0.9579,0.9570,0.009
test_0294_caries_0_4692,2,2,2,0.9464,0.9456,0.008
test_0032_563,3,3,3,0.9700,0.9695,0.005
test_0321_683,3,3,3,0.9700,0.9695,0.005
